prompt,completion,item,response,target,type,confidence_1,confidence_2,confidence_3,confidence_4,confidence_5,score_1,score_2,score_3,score_4,score_5
"AUT Prompt:brick
Response:for home decorative accents
Score:
",23,brick,for home decorative accents,2.3,uses,0.1469559495553605,0.28290427845513344,0.3914106590939176,0.4852830464855582,0.5703128716287226,1.5,1.5961090653291996,1.4308564447322736,1.4055437803778092,1.4941732168227357
"AUT Prompt:table
Response:storing stuff on
Score:
",17,table,storing stuff on,1.7,uses,0.346362002798733,0.5843556971462042,0.6744279609207587,0.75523322225922,0.8317254072768713,1.0,1.2036376949088987,1.216507225036683,1.2147410545429225,1.2593693858558996
"AUT Prompt:bottle
Response:jewish wedding
Score:
",30,bottle,jewish wedding,3.0,uses,0.17793748468738993,0.27882299160708623,0.3754760915439302,0.4568334089245526,0.5353000969988175,3.7,3.4467215510573683,3.4089532535369456,3.425167739832739,3.318869401457693
"AUT Prompt:book
Response:use as a pillow
Score:
",35,book,use as a pillow,3.5,uses,0.22485455680352825,0.349594121197759,0.4700295536417657,0.5531650762707375,0.6359602092303156,3.0,3.1784062671975937,3.0558244737179048,3.152638013363788,3.171822948363886
"AUT Prompt:spoon
Response:nails
Score:
",41,spoon,nails,4.1,uses,0.21794426805526598,0.4245272082061346,0.5187899000732533,0.6074908571218441,0.6883551844418936,3.0,3.145985653798585,3.22847880644707,3.2973265605268485,3.227155794621214
"AUT Prompt:paperclip
Response:for decoration
Score:
",20,paperclip,for decoration,2.0,uses,0.2516264833393286,0.40744886492278465,0.5202468728831451,0.623401972690012,0.7199148824199536,2.0,1.8852697393477935,1.9535083935268602,1.8784657955773387,1.8679465488853026
"AUT Prompt:spoon
Response:a wire
Score:
",36,spoon,a wire,3.6,uses,0.24353587907096919,0.4193080686088424,0.5586275577908166,0.6468684493755361,0.729866330510982,3.3,3.425758745917559,3.31957620950534,3.23505831845004,3.310673192489577
"AUT Prompt:spoon
Response:you can use the spoon to dig out dirt in your backyard
Score:
",24,spoon,you can use the spoon to dig out dirt in your backyard,2.4,uses,0.24402892881487517,0.48039001902899164,0.6353757538052206,0.7553494210388817,0.830317917565631,3.3,3.0047885082726684,3.003620458549844,2.907746207491457,2.9702490451894086
"AUT Prompt:box
Response:put a brick into it
Score:
",10,box,put a brick into it,1.0,uses,0.594238158344821,0.7939782099111339,0.8679427417613506,0.904061750296611,0.9379491508083893,1.0,1.0754706045101674,1.086082777405702,1.098624375187633,1.1131257759746154
"AUT Prompt:brick
Response:place under tires on a hill
Score:
",17,brick,place under tires on a hill,1.7,uses,0.15705363622034899,0.28077116570078275,0.395789619002337,0.49807646468445027,0.5961850598384673,1.5,1.588126947916211,1.4172142997654091,1.393142732763268,1.4930075531996156
"AUT Prompt:knife
Response:shaving the body
Score:
",13,knife,shaving the body,1.3,uses,0.4815444963845888,0.6427555790897754,0.7891733644694161,0.8840574105930471,0.919648331654948,1.0,1.0752437262077827,1.1911566980960246,1.224304208372731,1.2233636214854484
"AUT Prompt:brick
Response:display item
Score:
",17,brick,display item,1.7,uses,0.12311049420424891,0.24506948887529212,0.3597725232863588,0.44700086336209593,0.5189072134374372,1.5,1.599530133457865,1.7272083354033092,1.7414129971714358,1.638673429972405
"AUT Prompt:rope
Response:floss your teeth
Score:
",30,rope,floss your teeth,3.0,uses,0.11098618998050334,0.21515305440504423,0.318735055381402,0.41487650869426573,0.5053618514403293,2.1,1.7126780920211795,2.033536363207779,1.9330707664596027,1.9450544858863337
"AUT Prompt:brick
Response:set plants on
Score:
",27,brick,set plants on,2.7,uses,0.1180195842579468,0.2345745742782344,0.34838854491530696,0.4523359529209133,0.5286790013650877,2.0,1.7515609047167258,1.7347166330519472,1.7497188382410525,1.8580619934089653
"AUT Prompt:lightbulb
Response:use the energy to power a remote-control car.
Score:
",36,lightbulb,use the energy to power a remote-control car.,3.6,uses,0.20601211525591331,0.3531122404931917,0.4966240142589504,0.6121051603097984,0.7047940097647187,3.3,3.050050932759809,3.035587479658958,3.198669503765997,3.2514492683947007
"AUT Prompt:box
Response:shovel
Score:
",25,box,shovel,2.5,uses,0.1346443259314621,0.2577166248756605,0.37293104083656536,0.48726825247771444,0.5874957000475584,1.3,1.6342842523353067,1.4383266041811595,1.4997281141019505,1.4997744981513819
"AUT Prompt:brick
Response:A birthday present
Score:
",14,brick,A birthday present,1.4,uses,0.09335654490405337,0.171232798847627,0.24905945363130322,0.3265809196568645,0.4015872848353895,1.7,1.745479752984049,1.9187574792692605,1.9855168372215828,1.9882219263449679
"AUT Prompt:fork
Response:throw
Score:
",22,fork,throw,2.2,uses,0.21873384672802706,0.33082312475296055,0.4367200564904989,0.509871237983436,0.5720245731056479,2.0,1.8305903220812703,1.9929103939750819,1.9508865656148418,1.9779539880626644
"AUT Prompt:rope
Response:a necklace
Score:
",10,rope,a necklace,1.0,uses,0.146257092254223,0.24951019466813984,0.33594775254300624,0.4216660388781917,0.5049099493735395,1.3,1.4241469542572178,1.495122465853467,1.740055725704255,1.782912432984635
"AUT Prompt:box
Response:color the outside
Score:
",20,box,color the outside,2.0,uses,0.1342324205219623,0.24561194168039163,0.34247423167226476,0.43670118590291157,0.4973524258194452,2.0,1.8639567110665598,1.7610185124182192,1.6615446120226975,1.5808704282923765
"AUT Prompt:brick
Response:parking brake
Score:
",10,brick,parking brake,1.0,uses,0.12927792949516545,0.2578506006785739,0.3782282139114246,0.4980631279154654,0.582204827629608,1.5,1.2506837857948565,1.2663795164181817,1.3707094104577124,1.3460380589479835
"AUT Prompt:box
Response:where it as your outfit to a club
Score:
",23,box,where it as your outfit to a club,2.3,uses,0.1279468033852843,0.24568278562131626,0.35843716047376584,0.4569368384584954,0.5499535600436883,2.0,1.8562341493259875,1.6812583357246904,1.5344027507828562,1.5285840211230655
"AUT Prompt:box
Response:turtle shell
Score:
",30,box,turtle shell,3.0,uses,0.14088866647076032,0.26128545738486075,0.3479063100066648,0.42856663180335425,0.4943007293227941,2.0,2.138235926468072,2.2781025561382875,2.1692981491937005,2.1733810047009006
"AUT Prompt:paperclip
Response:Use as a utensil if you forget your fork
Score:
",38,paperclip,Use as a utensil if you forget your fork,3.8,uses,0.2520957508369314,0.42656523997038465,0.5482257156728126,0.6553174694539852,0.7533483247408908,2.5,2.2954949527233324,2.451836431672842,2.4270233746223897,2.397481534741074
"AUT Prompt:sock
Response:If you are bored you can use the sock as a puppet.  
Score:
",27,sock,If you are bored you can use the sock as a puppet.  ,2.7,uses,0.2481164466684598,0.4173975351952092,0.5720272124046167,0.6727544936406528,0.7505756540564548,2.7,2.9433379321910658,2.958654751155817,2.8750109037115563,2.950179199481681
"AUT Prompt:box
Response:chairs/desks
Score:
",15,box,chairs/desks,1.5,uses,0.2668524219955438,0.4380838426935383,0.5931451359289979,0.7301405948863586,0.8310072379800837,1.0,1.195432248362763,1.2227685777321322,1.2184965350898445,1.2769408372857403
"AUT Prompt:hat
Response:to put it on your arm
Score:
",21,hat,to put it on your arm,2.1,uses,0.16980344784181464,0.33948676829568153,0.4789026999294095,0.5625016514993115,0.637164772762863,2.4,2.250053077497785,2.060812642177449,2.0369126798406505,2.114613411440586
"AUT Prompt:rope
Response:woven to make a fish net
Score:
",16,rope,woven to make a fish net,1.6,uses,0.14157049331224578,0.21599843852259556,0.2873105285738727,0.35779731593819497,0.42276438287461104,2.7,2.8033728934145477,2.678432908504386,2.5447802676585063,2.47642997470221
"AUT Prompt:shoe
Response:bug killer
Score:
",28,shoe,bug killer,2.8,uses,0.16247238989286567,0.2986217172947885,0.4197445381268039,0.5059674187560808,0.5887260636636077,3.0,3.227962869940101,3.3641754076551997,3.2509919994587855,3.25788117247956
"AUT Prompt:toothbrush
Response:You can turn it into a paintbrush.
Score:
",36,toothbrush,You can turn it into a paintbrush.,3.6,uses,0.27803807895872534,0.5199906885832715,0.6282791038077367,0.7266057321485335,0.805680337548696,3.9,3.7604094563979094,3.681054580379394,3.588892080633145,3.501650544202889
"AUT Prompt:bottle
Response:target
Score:
",32,bottle,target,3.2,uses,0.1711027715146171,0.3257933229442349,0.41311774557850156,0.46952664735589067,0.5234685871417026,3.0,2.857556425621317,2.9510797130965534,2.872859037460488,2.8344369807385923
"AUT Prompt:bottle
Response:cut it and make a gummy out of it
Score:
",36,bottle,cut it and make a gummy out of it,3.6,uses,0.21489210801412234,0.3657937246459196,0.48440437450488627,0.595766421587323,0.662175068924333,3.3,3.1762404001507676,3.059628770850944,3.160636219545619,3.2347860189781374
"AUT Prompt:spoon
Response:to use as drum sticks
Score:
",24,spoon,to use as drum sticks,2.4,uses,0.2537853621776612,0.4812445615712394,0.6193288768660895,0.6970187859703816,0.7453716414646543,3.3,3.0164112999208528,3.0127522696425677,3.078207066143719,3.118543271877323
"AUT Prompt:hat
Response:When you put it on it transports your head to a different location.
Score:
",47,hat,When you put it on it transports your head to a different location.,4.7,uses,0.24932719723466454,0.4571918123644509,0.6289320998124209,0.743729240765121,0.7866359059286007,2.7,2.5636034529655443,2.682768730825192,2.7780404790960818,2.741057097604592
"AUT Prompt:fork
Response:rake the fairy garden
Score:
",28,fork,rake the fairy garden,2.8,uses,0.1647763795092182,0.2835273931715467,0.3784712255835456,0.4683655025073804,0.5561144246488235,3.5,3.5837668715773634,3.437322280083622,3.506931700960545,3.5847326172200873
"AUT Prompt:box
Response:Furniture
Score:
",10,box,Furniture,1.0,uses,0.4066576102695078,0.6150222413522414,0.7495574284561237,0.8296789001285834,0.8804769151267694,1.0,1.1016376077511953,1.1192922961617084,1.1560569547589556,1.170130943818707
"AUT Prompt:brick
Response:a can be used to play with in a game of toss
Score:
",14,brick,a can be used to play with in a game of toss,1.4,uses,0.12925274860719788,0.2489780877590867,0.3467658148190834,0.44018806850176884,0.5319506200305781,1.7,1.6038266056025492,1.433547908058408,1.553767502407187,1.5099920980009696
"AUT Prompt:rope
Response:shirt
Score:
",14,rope,shirt,1.4,uses,0.1455129926199831,0.24215572223558157,0.3234815116305056,0.40366734668315685,0.4766091040916288,1.3,1.4197279941065106,1.3142050840650548,1.4305693500623002,1.517716809001144
"AUT Prompt:knife
Response:loosen lids
Score:
",17,knife,loosen lids,1.7,uses,0.23306436941185418,0.4425840925905843,0.5431909357677623,0.6159020447724195,0.6814384425119479,2.0,1.857979719547299,1.7916766810877187,1.839881816307792,1.8841330449037093
"AUT Prompt:spoon
Response:I can use a spoon as a sword
Score:
",27,spoon,I can use a spoon as a sword,2.7,uses,0.29544939763433353,0.5007537407929963,0.6236672927903276,0.7413953398885741,0.8502727617102653,2.7,2.8229971898963004,2.7396320885095853,2.8286143309474787,2.9273902610474924
"AUT Prompt:brick
Response:garden fencing
Score:
",15,brick,garden fencing,1.5,uses,0.2840869857117525,0.437979850786479,0.5878128565453331,0.7228549021649082,0.7938211924076892,1.0,1.1756848686056922,1.1818827752721819,1.203949156232427,1.2482952740870215
"AUT Prompt:paperclip
Response:chain them together into a link as a game
Score:
",20,paperclip,chain them together into a link as a game,2.0,uses,0.18691268430930627,0.34915819384276237,0.4841218972964424,0.5762235860318171,0.6626801276787347,2.0,2.2323381097659714,2.4463472101285513,2.406971879756644,2.4452017840851163
"AUT Prompt:paperclip
Response:Connector
Score:
",23,paperclip,Connector,2.3,uses,0.22996432288092283,0.43177305517028763,0.5867390925114251,0.7022487659283324,0.8093821972187347,1.0,1.2336976912672017,1.4360888966689012,1.4137042592404372,1.451599638181062
"AUT Prompt:brick
Response:use it to help cook  by pressing down meat  etc.
Score:
",26,brick,use it to help cook  by pressing down meat  etc.,2.6,uses,0.11858979993948308,0.21877713449122105,0.2980224641271547,0.3724298700591772,0.43862666711845666,2.0,1.8626172683200242,1.7661959296002632,1.872844131980185,1.861850618399878
"AUT Prompt:lightbulb
Response:as a firecracker
Score:
",36,lightbulb,as a firecracker,3.6,uses,0.26723573700144165,0.4582476464014008,0.5807501636794405,0.6980207395362641,0.7899875337080895,2.7,2.574950644547789,2.664609880595883,2.771358234872232,2.693201729905321
"AUT Prompt:toothbrush
Response:Use it for painting
Score:
",36,toothbrush,Use it for painting,3.6,uses,0.22278865329192413,0.42102755526368774,0.5627873840354831,0.6921964290124321,0.8103271574068222,2.7,2.982507260382434,3.213613389192441,3.1736774641702294,3.0608895839303107
"AUT Prompt:shoe
Response:trip your husband in the middle of the night
Score:
",35,shoe,trip your husband in the middle of the night,3.5,uses,0.214027685678227,0.2964144650052333,0.3704190520949685,0.4427300099770794,0.5110189402915213,3.0,3.1389722652798873,3.0512716973632164,3.1572282937351908,3.2698503000492214
"AUT Prompt:bottle
Response:flip it and try to make it land on its cap
Score:
",21,bottle,flip it and try to make it land on its cap,2.1,uses,0.25145518403820666,0.440846357868658,0.60298078349766,0.6563510657529249,0.708419290810985,3.0,2.8711175648046,2.9864389965912297,3.044461226073846,3.0852928610737234
"AUT Prompt:knife
Response:paper cut (no scissors)
Score:
",17,knife,paper cut (no scissors),1.7,uses,0.4031941787311344,0.6004636520655914,0.781385431309012,0.8847596069626561,0.9339923385754256,1.0,1.0985585751889484,1.237816166036558,1.2684493883179488,1.3070109839955253
"AUT Prompt:brick
Response:building blocks
Score:
",11,brick,building blocks,1.1,uses,0.5975200495543229,0.7451001790339755,0.8758920879908765,0.919810484139977,0.9469518662681456,1.0,1.0396134999379523,1.0784955127756755,1.098621181451707,1.1072592526894682
"AUT Prompt:paperclip
Response:make toys/doll/animal shapes for fun
Score:
",23,paperclip,make toys/doll/animal shapes for fun,2.3,uses,0.3411575107457953,0.48814746984263513,0.6248290897473805,0.736330727480547,0.786003496653426,2.0,2.0602235874106753,2.1564248582140384,2.1781662617022275,2.2301033812630955
"AUT Prompt:box
Response:make a halloween mask out of it
Score:
",20,box,make a halloween mask out of it,2.0,uses,0.18308114666964198,0.2984549682537686,0.3768086986001805,0.43863303494789563,0.4978855352894398,2.0,1.8840289150562632,1.9705260854842988,2.002869915847488,1.9787267164451305
"AUT Prompt:box
Response:Bookshelf
Score:
",16,box,Bookshelf,1.6,uses,0.25697902813606344,0.4792893115299708,0.5927137277820099,0.6844048241185892,0.7728084494184511,1.0,1.1391499526773856,1.2082038720547033,1.2740907924215523,1.265615348530723
"AUT Prompt:fork
Response:dig in the dirt
Score:
",28,fork,dig in the dirt,2.8,uses,0.16390445703138293,0.314572071065609,0.40208920398436854,0.4804291531217054,0.5530691926879323,2.0,2.2394802779595806,2.4050119682949846,2.453113436013451,2.4198695485399813
"AUT Prompt:shovel
Response:breaking up branches or tree roots
Score:
",23,shovel,breaking up branches or tree roots,2.3,uses,0.24333402282121058,0.4421690514370952,0.5866992654170096,0.6701312111998454,0.7379979038576776,1.0,1.224840508363996,1.4157968872084157,1.4013800693465888,1.4288413222163079
"AUT Prompt:brick
Response:Someone could drill holes in the top and put their toothbrushes in it.
Score:
",38,brick,Someone could drill holes in the top and put their toothbrushes in it.,3.8,uses,0.0830406111404898,0.16284913220260253,0.23735820339776506,0.3107871539083571,0.3795888212307073,2.0,2.0980152856606225,2.381157146087654,2.3619823378991263,2.4232491019243194
"AUT Prompt:tire
Response:weights
Score:
",27,tire,weights,2.7,uses,0.15789838275235554,0.3081915115275735,0.43811331776186363,0.5243182141740602,0.5988672851207064,1.5,1.7438307402275277,1.523248919531819,1.4865438243012605,1.513115587330456
"AUT Prompt:paperclip
Response:use as a de-bowler
Score:
",32,paperclip,use as a de-bowler,3.2,uses,0.20081046017828327,0.34025313435222615,0.4520533823540965,0.5491810115920198,0.6443070068711039,2.5,2.7049101978728483,2.703695825054612,2.632298566968182,2.5684736651713327
"AUT Prompt:shovel
Response:paint for a decoration
Score:
",27,shovel,paint for a decoration,2.7,uses,0.19672869149291497,0.2951006686964166,0.383985569110384,0.46583301339753974,0.5371302435577046,3.0,3.1666752868403387,3.058649387605206,2.9604939900420666,2.9391904475873343
"AUT Prompt:pencil
Response:use it as a stick as a drum.
Score:
",27,pencil,use it as a stick as a drum.,2.7,uses,0.16557258504184347,0.3217730445167766,0.4684411104983497,0.5973578130292605,0.7081585669891457,2.7,2.9912620472162437,2.993997884457489,3.1895235855937494,3.253748038024416
"AUT Prompt:box
Response:to hide things in
Score:
",13,box,to hide things in,1.3,uses,0.7288433160841103,0.8701090958554414,0.911800245977064,0.9509080554957062,0.9649807587128842,1.0,1.048706230210976,1.0693411843999447,1.074714763940981,1.0838335504801846
"AUT Prompt:rope
Response:wristbands
Score:
",17,rope,wristbands,1.7,uses,0.14558467541928885,0.24678140895143819,0.3469068168208295,0.4387236435912516,0.5173734115330269,1.3,1.4640265106875419,1.5032716347862873,1.6072277878840544,1.6517342623750604
"AUT Prompt:table
Response:as a baby shelter
Score:
",37,table,as a baby shelter,3.7,uses,0.19696541973346474,0.3165739280769786,0.3942091083882799,0.47149545249260527,0.5354298986081342,3.5,3.31108913631948,3.446762610072837,3.406313906075061,3.2980930582248766
"AUT Prompt:spoon
Response:to use a spoon to make slime
Score:
",32,spoon,to use a spoon to make slime,3.2,uses,0.3115578013071503,0.4675486243673702,0.6183412388781986,0.7602658031585223,0.8164475142760335,2.7,2.9001813051268686,2.9245237248630733,2.8266069162987373,2.776607352145885
"AUT Prompt:bottle
Response:recycle alot of them and get cash for the glass
Score:
",25,bottle,recycle alot of them and get cash for the glass,2.5,uses,0.23656035565354055,0.3627364592802816,0.4888977633180801,0.5451441543156024,0.5960924637876669,3.0,3.1043535330391867,3.0000090814010942,3.0515966926413376,3.0044514581220354
"AUT Prompt:brick
Response:draw a tic tac toe board on it
Score:
",37,brick,draw a tic tac toe board on it,3.7,uses,0.11062291757632876,0.2092335489424732,0.3012382136385717,0.3920898565975425,0.4630406707801472,2.0,2.471294550346018,2.38843532794865,2.3679438648195816,2.3881785675144287
"AUT Prompt:brick
Response:a book stand
Score:
",17,brick,a book stand,1.7,uses,0.14178032872514665,0.2734467719206377,0.40397077989336017,0.5208579695832417,0.5818501873830374,1.5,1.5963013329948577,1.7267374205868027,1.7431784803710897,1.7910646170863778
"AUT Prompt:brick
Response:put behind a tire of a car to stabilize it while changing tire or oil.
Score:
",14,brick,put behind a tire of a car to stabilize it while changing tire or oil.,1.4,uses,0.18131658267775186,0.34622782089948134,0.4532529736190347,0.5546085486389897,0.6534192664740411,1.5,1.2618457728305903,1.436143733332867,1.4843638765244822,1.4564841859231634
"AUT Prompt:brick
Response:a dumbell
Score:
",33,brick,a dumbell,3.3,uses,0.10816264634929174,0.20383867463818034,0.2912723035646523,0.37158269168629376,0.446564031416487,1.7,1.840811396746054,1.8285607004889914,1.7575486809085257,1.8318394664105244
"AUT Prompt:shoe
Response:to plant a flower
Score:
",35,shoe,to plant a flower,3.5,uses,0.20751835196861795,0.39263263472507237,0.49839191586397324,0.5871280853098546,0.6538058996485941,3.5,3.2642652872117033,3.3779487485644544,3.4719630644053945,3.454425563921373
"AUT Prompt:brick
Response:build houses, building, structures, etc.
Score:
",10,brick,"build houses, building, structures, etc.",1.0,uses,0.8890476067519054,0.9453533858964916,0.97646683830478,0.984930336437183,0.9926687854298909,1.0,1.0119121124406174,1.021091542224986,1.0252067985918807,1.0257898564885257
"AUT Prompt:brick
Response:plant stand
Score:
",25,brick,plant stand,2.5,uses,0.1577573635570736,0.28948260894606426,0.42053299544096134,0.5318132214917051,0.5916121820586667,1.5,1.5910073637021376,1.7184614366083537,1.7355231218004297,1.782471503470108
"AUT Prompt:knife
Response:to put holes in clothing
Score:
",20,knife,to put holes in clothing,2.0,uses,0.29717606630012156,0.500252753869546,0.6345773700185756,0.7628459413129917,0.8856297651079601,1.7,1.415836284360231,1.391316556478409,1.4095911113641275,1.4914454751234723
"AUT Prompt:brick
Response:use it to keep balanced place it on your head
Score:
",18,brick,use it to keep balanced place it on your head,1.8,uses,0.1011212992571194,0.19943322886573694,0.28532220430755967,0.3653969467456886,0.4421831192926493,1.7,1.8478869847834687,1.7431644772411232,1.7556196712069914,1.8501526373788775
"AUT Prompt:rope
Response:walking the dog
Score:
",13,rope,walking the dog,1.3,uses,0.2656771311799064,0.5171163483208809,0.5892523737693504,0.650965242527149,0.7071440884504563,1.0,1.1458700065995313,1.213706365153333,1.2882486490147655,1.313015639787127
"AUT Prompt:brick
Response:sharpen another object
Score:
",22,brick,sharpen another object,2.2,uses,0.1394660188314929,0.2571050030493402,0.3481013060187824,0.4304904416413723,0.5098119150502753,2.0,1.8627343114805839,1.7679128306812033,1.850607555000876,1.8427335416446058
"AUT Prompt:brick
Response:use it as an exercise tool
Score:
",10,brick,use it as an exercise tool,1.0,uses,0.13506758448502543,0.25942400219654316,0.37441426792972077,0.4845662953399551,0.5698597295811878,1.5,1.2603220660798693,1.395356136063496,1.3736796971233276,1.3476842862236789
"AUT Prompt:brick
Response:can be used in place of a hammer
Score:
",20,brick,can be used in place of a hammer,2.0,uses,0.17125272321171814,0.31537727648153924,0.450455315602193,0.5832776865758511,0.6683781753408338,1.0,1.228495462446955,1.369885531923684,1.3539713931515474,1.3598319330142936
"AUT Prompt:lightbulb
Response:ornaments
Score:
",27,lightbulb,ornaments,2.7,uses,0.21853423386310314,0.4367827026837487,0.5826435955576852,0.6808125362381932,0.7277095348997842,2.7,2.8499018625140025,2.9625808942842977,2.8814602222941152,2.876210545393254
"AUT Prompt:brick
Response:separate books of a certain category
Score:
",25,brick,separate books of a certain category,2.5,uses,0.14187186328433077,0.25251002574905024,0.35223591142972244,0.4401852173133457,0.5260397581806099,2.0,1.7809232284212866,1.984509988292002,1.92766469907497,1.9068286425724201
"AUT Prompt:knife
Response:to clear snow or dig through ice
Score:
",20,knife,to clear snow or dig through ice,2.0,uses,0.2467594015190647,0.4222909129290735,0.5679932828726364,0.7110989772811964,0.8361386137740541,1.0,1.2078324515586847,1.4110402934129749,1.4691922255467176,1.4438905183521544
"AUT Prompt:bottle
Response:if glass, keep behind door for protection
Score:
",33,bottle,"if glass, keep behind door for protection",3.3,uses,0.2133479879799105,0.3392380596370186,0.41815114637639517,0.48464408653397073,0.5502360039988391,3.0,2.888671036682786,2.966296647522201,2.902320967346026,2.890123604039534
"AUT Prompt:knife
Response:to paint
Score:
",20,knife,to paint,2.0,uses,0.22551430167238715,0.432889743479391,0.5475454382494269,0.6226704597447033,0.6950987866871526,1.7,1.843714729857218,1.7717410663006923,1.7148256350458126,1.7237006854273835
"AUT Prompt:brick
Response:use brick for building some desks so we can have stable desks
Score:
",15,brick,use brick for building some desks so we can have stable desks,1.5,uses,0.1945548209214887,0.34621072702262456,0.477235875643568,0.5858055665168136,0.6809833244154855,1.0,1.2190225407013822,1.2412549087630662,1.3262759730751672,1.420439133942887
"AUT Prompt:brick
Response:hold it with you if something happens you can use it for protection
Score:
",17,brick,hold it with you if something happens you can use it for protection,1.7,uses,0.21957344523422376,0.3522621314019081,0.4778525892978673,0.5716028624981044,0.665289051174523,1.0,1.1130027962185032,1.2147144058569253,1.212301052706388,1.2809789537071279
