prompt,completion,item,response,target,type,confidence_1,confidence_2,confidence_3,confidence_4,confidence_5,score_1,score_2,score_3,score_4,score_5
"AUT Prompt:spoon
Response:I can use a spoon as a sword
Score:
",27,spoon,I can use a spoon as a sword,2.7,uses,0.27457940183160273,0.4986845781924596,0.6933905296012118,0.8114856587591383,0.8638900546566458,3.0,2.8651822096605724,2.734557776756248,2.8168463195845024,2.8643531699016944
"AUT Prompt:brick
Response:garden fencing
Score:
",15,brick,garden fencing,1.5,uses,0.22928440563512048,0.3918713952074687,0.5422397795578504,0.648866930543829,0.7400699659037889,1.0,1.2074494228983843,1.2331146014303123,1.3098370502762027,1.2963012052322267
"AUT Prompt:paperclip
Response:chain them together into a link as a game
Score:
",20,paperclip,chain them together into a link as a game,2.0,uses,0.1703314217691207,0.3183179255567894,0.43002402151683494,0.5382932822149147,0.6309008884440463,2.0,2.1394704714120163,2.2850776053763617,2.3283058780340022,2.3094723331024682
"AUT Prompt:paperclip
Response:Connector
Score:
",23,paperclip,Connector,2.3,uses,0.16518624236918703,0.29383343014365093,0.4146862788332004,0.5247240497673287,0.623361270143727,1.3,1.606476466609327,1.4297298212678473,1.4444658979433067,1.4849001930230115
"AUT Prompt:brick
Response:use it to help cook  by pressing down meat  etc.
Score:
",26,brick,use it to help cook  by pressing down meat  etc.,2.6,uses,0.12722418659048396,0.2524759449897267,0.3683148850985091,0.47054239094319206,0.5636215942328139,3.0,2.851171851158724,2.740724577154618,2.644975128955788,2.538460808427416
"AUT Prompt:lightbulb
Response:as a firecracker
Score:
",36,lightbulb,as a firecracker,3.6,uses,0.238279720312259,0.46212280217713664,0.665934247538347,0.7975248069049512,0.9000076375844668,2.7,2.8453140252830957,3.076288239132983,3.1132003896949496,3.202792353000965
"AUT Prompt:toothbrush
Response:Use it for painting
Score:
",36,toothbrush,Use it for painting,3.6,uses,0.3930252184844502,0.5647252203866643,0.7070695215552298,0.8428954025930009,0.9013133860875608,2.7,2.9736375074698924,3.039339449797498,3.1780280428851904,3.1664892824147834
"AUT Prompt:shoe
Response:trip your husband in the middle of the night
Score:
",35,shoe,trip your husband in the middle of the night,3.5,uses,0.20401107446872266,0.31321033362254525,0.41109591689688224,0.5074639248646632,0.5768751971359863,2.7,2.6302709729332108,2.7183067329112496,2.6388697826277028,2.5740314304391214
"AUT Prompt:bottle
Response:flip it and try to make it land on its cap
Score:
",21,bottle,flip it and try to make it land on its cap,2.1,uses,0.2469654081839582,0.4517069227517677,0.6381261931703994,0.7855959739887457,0.8327301469716083,2.4,2.2640214455953847,2.3913862284551524,2.5056334273518606,2.5222951574525756
"AUT Prompt:knife
Response:paper cut (no scissors)
Score:
",17,knife,paper cut (no scissors),1.7,uses,0.2759000821516918,0.5518001643033836,0.7734921083949343,0.8616750800274404,0.8967518426954807,1.3,1.5,1.3566941138212893,1.3713598958411966,1.3959493738743947
"AUT Prompt:brick
Response:building blocks
Score:
",11,brick,building blocks,1.1,uses,0.42195525557954533,0.609196783941695,0.7158837802101157,0.7869526411194709,0.8506583563107764,1.0,1.0922074114462512,1.1082715657275817,1.1436481464198365,1.162846309879686
"AUT Prompt:paperclip
Response:make toys/doll/animal shapes for fun
Score:
",23,paperclip,make toys/doll/animal shapes for fun,2.3,uses,0.24291740270177029,0.4474743645990489,0.5774986805813213,0.6696997269115444,0.7473407921925509,2.5,2.408572656634501,2.474187769281142,2.4089038715463436,2.38720089574517
"AUT Prompt:box
Response:make a halloween mask out of it
Score:
",20,box,make a halloween mask out of it,2.0,uses,0.1371539447099655,0.272181501095407,0.39512549025617827,0.5019410791160721,0.5765103779694576,2.3,2.1511718586582664,2.1352496451049485,2.0426263291874367,2.0241781871036824
"AUT Prompt:box
Response:Bookshelf
Score:
",16,box,Bookshelf,1.6,uses,0.16153355290054464,0.287336010391795,0.40926793317111243,0.5311998559504298,0.6422201350239886,1.7,1.7437823499114202,1.611567654269483,1.7007286400153494,1.6833157295266643
"AUT Prompt:fork
Response:dig in the dirt
Score:
",28,fork,dig in the dirt,2.8,uses,0.2632784398987143,0.39566314004024167,0.5180989728541164,0.6090855579373459,0.6986615267670747,2.0,2.1003768256967756,2.005760791575891,1.9750237768403711,2.04233141007974
"AUT Prompt:shovel
Response:breaking up branches or tree roots
Score:
",23,shovel,breaking up branches or tree roots,2.3,uses,0.24957981878063398,0.42655841128958705,0.5560387026100864,0.6522602847407296,0.7455214400156441,2.0,1.9170202308406463,2.006201670635825,1.9610307321486893,2.028453201684151
"AUT Prompt:brick
Response:Someone could drill holes in the top and put their toothbrushes in it.
Score:
",38,brick,Someone could drill holes in the top and put their toothbrushes in it.,3.8,uses,0.18875656688773745,0.3125461456853558,0.39896519926003726,0.4602454844302326,0.5126612900066255,3.3,3.1811795501177875,3.0769522104956986,3.186538518141848,3.228811880825666
"AUT Prompt:tire
Response:weights
Score:
",27,tire,weights,2.7,uses,0.1730776398323855,0.3306666242229742,0.46973841482912093,0.5683550813505789,0.645157818461382,2.3,2.1570261046808974,2.2585677121956755,2.3525129396113758,2.429592961055231
"AUT Prompt:paperclip
Response:use as a de-bowler
Score:
",32,paperclip,use as a de-bowler,3.2,uses,0.2307684620305328,0.40496163606127555,0.5611073880978219,0.6337218991770358,0.7052106266094116,2.7,2.829044204575753,2.7374773211830306,2.7446414317488053,2.6894299511024222
"AUT Prompt:shovel
Response:paint for a decoration
Score:
",27,shovel,paint for a decoration,2.7,uses,0.2471403463190304,0.4067061467407913,0.5216370698164551,0.6347861540861888,0.7285900396412459,3.0,2.8822989509498678,3.0183953978092086,2.925992682069142,2.9741450554741022
"AUT Prompt:pencil
Response:use it as a stick as a drum.
Score:
",27,pencil,use it as a stick as a drum.,2.7,uses,0.23448747594641675,0.4547680739166413,0.6317685069314415,0.7653754433402151,0.8391602013307352,3.3,3.154685974716905,3.0272981522349873,3.127271230834943,3.195214878704255
"AUT Prompt:box
Response:to hide things in
Score:
",13,box,to hide things in,1.3,uses,0.6245185975225175,0.8210320872532408,0.9110025188901295,0.9562424930008329,0.9704778852979575,1.0,1.0718048025582625,1.0844653353322673,1.1041243419223996,1.1128649055988584
"AUT Prompt:rope
Response:wristbands
Score:
",17,rope,wristbands,1.7,uses,0.19493638586014794,0.366967142582764,0.4815643320180208,0.5603257516964508,0.6236123303438672,1.3,1.1593628120121269,1.2880174862234892,1.3318708797637435,1.3895268087763935
"AUT Prompt:table
Response:as a baby shelter
Score:
",37,table,as a baby shelter,3.7,uses,0.20807481010043338,0.3094823735879624,0.3948761035953644,0.475096089046685,0.5528479650153137,4.0,4.065533660164143,4.116238058676655,4.181036271205624,4.0852561453125125
"AUT Prompt:spoon
Response:to use a spoon to make slime
Score:
",32,spoon,to use a spoon to make slime,3.2,uses,0.22141092828756362,0.44282185657512724,0.6073604871541181,0.7525653189955885,0.8169995789794422,2.7,3.0,2.837455382041764,2.8688177944750954,2.808183484588055
"AUT Prompt:bottle
Response:recycle alot of them and get cash for the glass
Score:
",25,bottle,recycle alot of them and get cash for the glass,2.5,uses,0.10784217103712163,0.21401240418209572,0.3122038183051128,0.3936073597684041,0.47374885629863644,2.3,2.151171851158724,2.1350777609075373,2.1898674083551875,2.2761637419076846
"AUT Prompt:brick
Response:draw a tic tac toe board on it
Score:
",37,brick,draw a tic tac toe board on it,3.7,uses,0.16177914117573083,0.2783042852850062,0.3648984194953033,0.43781799139575844,0.4955021206243481,3.0,3.1256090728067063,3.0246076784385996,3.103785339599823,3.0334953648325733
"AUT Prompt:brick
Response:a book stand
Score:
",17,brick,a book stand,1.7,uses,0.14939429396771095,0.25869349430993727,0.3507326488173507,0.42945790955459273,0.5057610486539433,2.0,1.8732486095557437,1.9852365790071045,1.951280287468468,2.0340645126737926
"AUT Prompt:brick
Response:put behind a tire of a car to stabilize it while changing tire or oil.
Score:
",14,brick,put behind a tire of a car to stabilize it while changing tire or oil.,1.4,uses,0.13961101329048567,0.2728287728149801,0.39224440067365146,0.5098086608232772,0.6255502560597608,1.7,1.84648501858875,1.5887795171357502,1.5683065455082172,1.5186634875945064
"AUT Prompt:brick
Response:a dumbell
Score:
",33,brick,a dumbell,3.3,uses,0.13247239432229982,0.23891695355090628,0.33285394736713403,0.39946525044180475,0.4620407786811779,2.0,1.866341139488128,1.9887269787442987,2.0739823598696905,2.0368761309648473
"AUT Prompt:shoe
Response:to plant a flower
Score:
",35,shoe,to plant a flower,3.5,uses,0.24891338361539092,0.4147254437293698,0.4930495149682959,0.5689638078725558,0.640278686281066,3.5,3.4200376718520404,3.4645114795901666,3.522616762628205,3.464407186580067
"AUT Prompt:brick
Response:build houses, building, structures, etc.
Score:
",10,brick,"build houses, building, structures, etc.",1.0,uses,0.8687001804431357,0.9177088875793625,0.9541290662083436,0.9857714657529846,0.9911848436540238,1.0,1.010680665252245,1.0217243093728514,1.0242368903954366,1.026835281119581
"AUT Prompt:brick
Response:plant stand
Score:
",25,brick,plant stand,2.5,uses,0.1729879569349909,0.2685209800010347,0.35826594979933735,0.445249757154928,0.5232215381395474,2.0,2.177887446756815,2.2084764195825644,2.1091406777543207,2.0630717615070924
"AUT Prompt:knife
Response:to put holes in clothing
Score:
",20,knife,to put holes in clothing,2.0,uses,0.5109916445940897,0.7110988558062548,0.8182085275366295,0.9188287523138068,0.9525323058838734,1.7,1.5874377537928785,1.5759914918799247,1.5129151098699438,1.5301496872026625
"AUT Prompt:brick
Response:use it to keep balanced place it on your head
Score:
",18,brick,use it to keep balanced place it on your head,1.8,uses,0.12551939380982358,0.24909278979067362,0.3353609234365073,0.3994699567280141,0.4596948200463996,2.0,1.851171851158724,1.9666282565487276,2.084323599400204,2.0470742131435995
"AUT Prompt:rope
Response:walking the dog
Score:
",13,rope,walking the dog,1.3,uses,0.2053436421707388,0.398246141991627,0.5766517900174146,0.6302188849462997,0.6712902013025264,1.3,1.1546859747169047,1.3233962843740432,1.3809059787515139,1.394310732524166
"AUT Prompt:brick
Response:sharpen another object
Score:
",22,brick,sharpen another object,2.2,uses,0.1451676060951309,0.26364995309137357,0.35449351969828446,0.4346626858486207,0.5011252589674919,3.0,2.8651822096605724,2.771599527485749,2.629285745478546,2.585613674386058
"AUT Prompt:brick
Response:use it as an exercise tool
Score:
",10,brick,use it as an exercise tool,1.0,uses,0.1754520136429438,0.3209068417963291,0.41481952786411547,0.496412283493894,0.5570468708664456,2.0,1.8640214455953839,1.9627244100457468,1.9359782285644707,1.9973720343082035
"AUT Prompt:brick
Response:can be used in place of a hammer
Score:
",20,brick,can be used in place of a hammer,2.0,uses,0.17045049096458453,0.3011394026315687,0.4061508932868461,0.497386457448756,0.58444404094551,1.7,1.8301944320719232,1.7448217046175074,1.7549430555978622,1.6871756727960725
"AUT Prompt:lightbulb
Response:ornaments
Score:
",27,lightbulb,ornaments,2.7,uses,0.285409382376522,0.4696835295366183,0.6482881572189682,0.7438883253723252,0.7831225553303368,2.7,2.935402098100265,2.953198943668688,2.8821050573511195,2.918071401410382
"AUT Prompt:brick
Response:separate books of a certain category
Score:
",25,brick,separate books of a certain category,2.5,uses,0.11231902716751775,0.19710187693043935,0.2805702904412005,0.3577659536176674,0.42589088726386315,2.0,2.430147348585843,2.4509282016971663,2.418362211266184,2.463412613243593
"AUT Prompt:knife
Response:to clear snow or dig through ice
Score:
",20,knife,to clear snow or dig through ice,2.0,uses,0.28886575914852214,0.520975917390187,0.6639748375615429,0.7315227445285738,0.7911335632030511,2.0,1.866341139488128,1.9382005746047193,2.008544192898228,2.045574707549954
"AUT Prompt:bottle
Response:if glass, keep behind door for protection
Score:
",33,bottle,"if glass, keep behind door for protection",3.3,uses,0.20539313595226308,0.37043115717069264,0.4803701695345944,0.5547586263136031,0.6117942345667338,3.3,3.1663411394881282,3.242703344965374,3.2906138154287983,3.3381022506431886
"AUT Prompt:knife
Response:to paint
Score:
",20,knife,to paint,2.0,uses,0.36796078830847995,0.6457121355276783,0.7204678964863372,0.7864396239827082,0.8446594691564105,1.7,1.8290441972221345,1.877910579175106,1.946872846073171,1.9643201419942105
"AUT Prompt:brick
Response:use brick for building some desks so we can have stable desks
Score:
",15,brick,use brick for building some desks so we can have stable desks,1.5,uses,0.1544619641012914,0.2886608441324242,0.38995947332249503,0.4821929247936485,0.5688382339340229,1.7,1.8394704714120165,1.699333808550732,1.5655658339984215,1.5555788612231376
"AUT Prompt:brick
Response:hold it with you if something happens you can use it for protection
Score:
",17,brick,hold it with you if something happens you can use it for protection,1.7,uses,0.1831545219848751,0.3014079692130147,0.3979236199485148,0.48443969011743865,0.5669939009860838,1.7,1.8177010490501324,1.6921336005986196,1.657820466455609,1.6785217811840676
