prompt,completion,item,response,target,type,confidence_1,confidence_2,confidence_3,confidence_4,confidence_5,score_1,score_2,score_3,score_4,score_5,confidence_10,confidence_11,confidence_12,confidence_13,confidence_14,confidence_15,confidence_16,confidence_17,confidence_18,confidence_19,confidence_20,confidence_6,confidence_7,confidence_8,confidence_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_6,score_7,score_8,score_9
"AUT Prompt:rope
Response:jumping
Score:
",13,rope,jumping,1.3,uses,0.4324351958593997,0.6782965015621266,0.7792039332845202,0.8235614987192682,0.8630912141704475,1.0,1.1087406341341162,1.1205587831921215,1.1517678692532305,1.1677169564567287,0.9630088694694139,0.973715797152503,0.9815924675720197,0.9883989447091045,0.9917107891893806,0.9940468597703886,0.9957895513083768,0.9971781090034408,0.9983234269476385,0.9988338437022701,0.9991814114341736,0.8856546402196351,0.906853321563496,0.9267177552147693,0.9451117231081003,1.2133950817372987,1.2198453585601152,1.2269080533727372,1.2342977575400742,1.237522745788811,1.240254638041135,1.242459268105209,1.2444888748333034,1.2465028698359446,1.247296726560471,1.2477672677487952,1.1787300376763874,1.195590506432057,1.1999720765485484,1.2155423922878772
"AUT Prompt:spoon
Response:make a dress
Score:
",41,spoon,make a dress,4.1,uses,0.2630404385181168,0.36810144325964234,0.46770733122707425,0.5519231082261902,0.5989357377545355,3.9,3.814376044974575,3.7048312948966817,3.5972838589072995,3.636743864729822,0.8050227390241239,0.841133466420196,0.8688220526547102,0.892239081332644,0.9132167249077614,0.9286460091668892,0.9425027425450543,0.9550549466868116,0.965947954288841,0.9730200317534553,0.9795486066430669,0.6438163848286144,0.6867034332598224,0.7282122758491911,0.7679973125370507,3.670936478128837,3.676477308259995,3.661292400144191,3.6833044822521503,3.6790937664499452,3.69107149218378,3.70737502741463,3.7204210111408247,3.730340034800109,3.739568142479899,3.7373049612214375,3.6829796630540637,3.6215891203911705,3.626058620517602,3.645430135572348
"AUT Prompt:box
Response:stage
Score:
",23,box,stage,2.3,uses,0.20077425731609927,0.28190181311494117,0.3582297547646952,0.4343082834484021,0.5089799466616163,2.0,2.201450598815533,2.1798345401723553,2.2008841303613815,2.15674188350881,0.7949563768835107,0.837452076230821,0.865331220135309,0.8909012914675016,0.9108021441460776,0.9285878817690243,0.9459707281360155,0.9601756040370749,0.9727818333157167,0.9812903981094908,0.9837992817236894,0.5770873812602072,0.6445837823306501,0.6998346795197158,0.7482888774408363,2.135819712610778,2.1492252869534987,2.170191873449232,2.1710474069740817,2.1520151877004885,2.139526793998295,2.1608512672118434,2.1806626865838172,2.193872225912281,2.1973936753089474,2.2014806398175852,2.1028375373566157,2.14442567159694,2.101444082246246,2.0819245735863503
"AUT Prompt:box
Response:you could use it as a stepper in exercise
Score:
",22,box,you could use it as a stepper in exercise,2.2,uses,0.23380891495090894,0.31720691084108293,0.3897855011477468,0.4606244219841888,0.5305138280260654,2.0,2.0788740658288707,2.008327199614905,2.083941016255107,2.1651000627985217,0.766913290768302,0.802821404492267,0.8380952891582558,0.8730856590955743,0.8975973523402058,0.9219968166851502,0.9383847498107343,0.9513248337904342,0.962411390631855,0.9712416375606617,0.9784196051610856,0.5822865433337684,0.6315218203445603,0.6790646783950295,0.7264253456266561,2.176551957850471,2.1462915481170874,2.131716775669247,2.0983843330153524,2.1011592655076137,2.1196531900803106,2.1402667439449297,2.1587620695144705,2.1707566734999784,2.163749177645369,2.1552115790035433,2.159311835238797,2.115706258588457,2.135610308118042,2.191965820493996
"AUT Prompt:spoon
Response:It's a cleaning device that scoops up tiny stuff easily
Score:
",30,spoon,It's a cleaning device that scoops up tiny stuff easily,3.0,uses,0.3334265759282107,0.5030952194096465,0.645594689207097,0.7189376240641168,0.7806454572572786,2.7,2.598825130749285,2.6873748154353527,2.6682596399008816,2.6391497485673465,0.9269306922482855,0.9427542033591445,0.956081046453095,0.9649943859899006,0.9734781191067994,0.9783326636186619,0.9828462194655633,0.9853823189862605,0.987901943477437,0.9896439668213547,0.9913173413759997,0.823043325300835,0.854111944443304,0.8794629825203123,0.9044737436885512,2.651753567289961,2.6441711798915146,2.6435554764573,2.6523898436932387,2.659776654153732,2.6634496861547685,2.659943671961997,2.6631352314192545,2.6637393503563143,2.6655634308363485,2.663933529685003,2.6731924786345047,2.652342402798567,2.633538249103318,2.6381412960401427
"AUT Prompt:box
Response:work hat
Score:
",23,box,work hat,2.3,uses,0.18559334796094468,0.30470293620902617,0.41900856084254484,0.4906708373094709,0.5588111144183328,2.0,1.8827288081992366,1.7237602652195383,1.6180553724927964,1.6036599433606784,0.8223652563323378,0.8509943361752634,0.8746918532762642,0.8974560339831055,0.9182827623409248,0.9382609623391303,0.9581862662834927,0.9726488557554811,0.9799556817499195,0.9850726886535718,0.988995337999158,0.6216760646881765,0.6817667701871533,0.7373916388286335,0.7870988630438396,1.7016891890276744,1.728545894149259,1.7413187257400504,1.732661097001525,1.7205802996382504,1.741434884280915,1.755129622516679,1.7736399503794473,1.7812927804307297,1.7891817772699214,1.792397723239107,1.6032898436086878,1.629441782080801,1.642307778883465,1.6838426561836444
"AUT Prompt:rope
Response:lasso something
Score:
",10,rope,lasso something,1.0,uses,0.39542301225594834,0.6752380985695088,0.7855649877718455,0.8277583231432472,0.8629380184742529,1.0,1.1243184086797005,1.1349473377565094,1.1535551716805144,1.1758322786846447,0.9589970596821329,0.9715808597645589,0.9802221817525616,0.9870978736559538,0.9909321736182185,0.9938882217301591,0.9956516896493671,0.9973453596610942,0.9984973478148031,0.999029465063829,0.9993444719684333,0.8857893109443226,0.9073826799910519,0.9279128760114278,0.9448954877039792,1.2233792566728274,1.2308475801628223,1.2402728823912894,1.2462613653365269,1.249951749106738,1.253372252425286,1.255934475389807,1.2580471201735275,1.260056849179089,1.260877075550509,1.261519834697686,1.197093878267609,1.206682005492872,1.2220217585016555,1.2252205623952312
"AUT Prompt:box
Response:friend
Score:
",16,box,friend,1.6,uses,0.16153763975113147,0.2977950036411563,0.4200914858898943,0.5338603951173426,0.6474965907406669,1.3,1.162733730696622,1.2900301133608698,1.3773971989240956,1.4866645135485022,0.8913992368785394,0.9198040861328388,0.9402148842235357,0.9499360328115484,0.9593424889708991,0.9687259181373108,0.9777186014278613,0.9843074214652944,0.9901644334831357,0.9933269364082233,0.9955041959149699,0.7397701632635555,0.784750146731203,0.8250501068354116,0.8597583244917285,1.5083046296506948,1.5265770183611007,1.5433669890176205,1.5500866278638925,1.5613616520042832,1.5694850059760501,1.5780435284651855,1.5875619117341635,1.5846778897678087,1.5885471694456867,1.5922902746590684,1.4883278855487756,1.506192178551762,1.5254279066143428,1.5122904675312285
"AUT Prompt:brick
Response:for home decorative accents
Score:
",23,brick,for home decorative accents,2.3,uses,0.1608893527921868,0.28389578876455746,0.38845719088865327,0.48463587738011793,0.5796003623215475,1.0,1.2166401208479765,1.4274978659305644,1.4021952050092217,1.4509889615488318,0.8721915624086674,0.9048267630132008,0.9222013892380772,0.9362625055423404,0.9476677156613941,0.9579995689867651,0.9679048859402634,0.9768056754252493,0.9833809101629774,0.9885078362638577,0.9913965845201386,0.6727655546425128,0.731677729843024,0.7843632194960355,0.8296170029540367,1.548849084017465,1.583155099508104,1.583472463863935,1.5912298542506798,1.5949459124560645,1.6036282762282026,1.614848293381296,1.6274699888275423,1.6353099417703059,1.6325335403986223,1.6353525606492683,1.499320330916755,1.4752200869748955,1.4701675717427802,1.5154331061774209
"AUT Prompt:table
Response:storing stuff on
Score:
",17,table,storing stuff on,1.7,uses,0.18257989882244507,0.35783102972616243,0.5219857466498515,0.6312044231581033,0.704472080813013,1.5,1.7448797286219586,1.7307658965971704,1.6562295350237837,1.671182186087837,0.905489547004557,0.9357305064645427,0.9634432476762929,0.9758475116082366,0.9823450667816583,0.9883059554714206,0.9925123660042117,0.9957186969599848,0.9976423439898112,0.9981978674595624,0.9986917756042468,0.7686343595230735,0.8091376039002375,0.8418688211669246,0.8737501099438906,1.6230607885046446,1.6514017295774128,1.670058185016757,1.676794419995511,1.6815779408953517,1.6798796259617248,1.6842030432137889,1.6884400636965182,1.6905833658356324,1.6910894802048666,1.6919840861889721,1.615154794187589,1.594373265801962,1.5945920289333513,1.6057357181982241
"AUT Prompt:bottle
Response:jewish wedding
Score:
",30,bottle,jewish wedding,3.0,uses,0.1338512192473146,0.26542885705544794,0.35833253904919377,0.43516663343687023,0.5036241857535794,3.3,3.5974302928501403,3.701803197841142,3.5778910938302495,3.580896353791139,0.7475212695758044,0.7788982299950585,0.8070598393200578,0.8348282391938732,0.8586435903421905,0.8775869655846873,0.8957357190541184,0.910782969486514,0.9230301197574278,0.9339464437069356,0.9442822445542056,0.5624188601305299,0.6170026679662048,0.6711040796229388,0.7141530786406427,3.675254810667379,3.635967866090304,3.6207551691811966,3.640022248721473,3.6583274012592226,3.674336962585904,3.695118210014993,3.6902424956439175,3.7049672230706827,3.715428709170044,3.7010304619879406,3.5724395342984065,3.592570916828397,3.601231369400579,3.655408955485434
"AUT Prompt:book
Response:use as a pillow
Score:
",35,book,use as a pillow,3.5,uses,0.19820875212772746,0.3454493661892046,0.4475707842995471,0.5495372793048008,0.6237671009936194,3.0,2.872131233860045,2.9697572780436863,3.06814367310014,3.083834900833581,0.8218135113234628,0.8468701041347328,0.8705886834643829,0.8936969630974414,0.9112590193318341,0.9248301294729279,0.9363315813661208,0.9478255333086186,0.9567419805772329,0.9649528759718571,0.9707245766325623,0.6747086195086587,0.7221741265158066,0.7652712079633291,0.7943643180389284,3.1264658400042027,3.104971683278856,3.1239072432965944,3.1362175509371677,3.141301245151227,3.1289558516611886,3.1408836962202615,3.157365228876782,3.152170810973597,3.1610869104814245,3.154777936577069,3.0397544851539973,3.023996418259554,3.0733295139225474,3.0962809393813213
"AUT Prompt:spoon
Response:nails
Score:
",41,spoon,nails,4.1,uses,0.23458947672816818,0.40119711538822944,0.5052764955705575,0.5852921326432566,0.6349576352215699,2.7,2.824582878791767,2.922511675672662,2.851078792373759,2.823617897818573,0.8099112910300905,0.8356932911580008,0.8605015069186794,0.8802756638360213,0.8950361045733942,0.9078505140611136,0.9205765793987483,0.9324012831224039,0.9435604452836992,0.9539706419966161,0.9628587844425766,0.6758388752569606,0.7137313743345989,0.7501713308467782,0.7805476332733385,2.8339081334656555,2.8328620325688334,2.8088506614826487,2.833361799443763,2.847653917644013,2.8610963869540136,2.8519573799413154,2.8487620589751996,2.8623773508564407,2.8518754160028656,2.8569351500567226,2.791944447605445,2.755208631743195,2.776814600206393,2.808850221853718
"AUT Prompt:paperclip
Response:for decoration
Score:
",20,paperclip,for decoration,2.0,uses,0.31396819123645076,0.4656349714558865,0.5804179587936954,0.6678537561010526,0.7320238053335605,2.0,1.93485593242912,1.888411012678105,1.8375600198279136,1.8693319256074998,0.9139603322873938,0.9359727245399879,0.9506519209170669,0.9652186336952993,0.977139475483773,0.9886542353491217,0.9925972133633566,0.9952876547892123,0.9974333741853836,0.9993139856648291,0.9995105554596091,0.7847637630391034,0.8372687565192525,0.8643427570937233,0.8893591062901667,1.882016692850527,1.8871432675205848,1.887341790762037,1.8769686896873354,1.8833495326039196,1.8777200075384681,1.8809864200249944,1.8834706789169753,1.8850121060458087,1.8871104045414693,1.8873882719599862,1.9117159004241853,1.9360651359091292,1.9067445592983416,1.8981162909697855
"AUT Prompt:spoon
Response:a wire
Score:
",36,spoon,a wire,3.6,uses,0.278847985635748,0.4411456005673893,0.5816989571705095,0.6609343500651534,0.6985646426160893,2.7,2.8103701009754367,2.9286772166283472,2.865297325766472,2.8833270953548964,0.8505880275965476,0.873394201373159,0.8954506492305346,0.9168757202437783,0.9284192256806745,0.9382190619564371,0.9477193990259853,0.9559349866453548,0.9632588815626009,0.970507343349141,0.9767998485779263,0.7353113849951111,0.7707366291948388,0.7997553387484183,0.8275236719781539,2.89805935493643,2.877220333674192,2.902413108283585,2.9210507005078754,2.931979121351385,2.928511550537559,2.9192037610039243,2.923335865889422,2.9315220089194267,2.926058465171919,2.933620949192518,2.9191423909350047,2.899877416375742,2.9216525544798406,2.900792419754452
"AUT Prompt:spoon
Response:you can use the spoon to dig out dirt in your backyard
Score:
",24,spoon,you can use the spoon to dig out dirt in your backyard,2.4,uses,0.24416823587203756,0.4562377205703797,0.549302693137785,0.6390947914153751,0.7227723545775883,2.7,2.5605532981140513,2.516409357361063,2.4579043117213293,2.4048913309070525,0.9276863353415564,0.9435035404577549,0.9567020020793516,0.9649727858639485,0.9724851730204411,0.9797449076733462,0.9846518915876101,0.9882973677049891,0.9908227217758552,0.9929866891386487,0.994261402041451,0.7894097477466501,0.8556008653643934,0.8851434650542833,0.9107414357586315,2.439909968333902,2.4543288018262066,2.4563384513453776,2.449855872882345,2.4556506893612164,2.4507924349396037,2.446054188637624,2.442933396819824,2.4400203514859276,2.442330313331035,2.442917077992341,2.4551269537554683,2.4585984288346494,2.4399546152360805,2.4332102737907286
"AUT Prompt:box
Response:put a brick into it
Score:
",10,box,put a brick into it,1.0,uses,0.4853094938085514,0.76570279900808,0.8558942711738347,0.9125406452088173,0.9369404975083291,1.0,1.1098572339931736,1.119356197878162,1.14298483436937,1.1574906517677206,0.9951629537794073,0.9974124319811449,0.9981754812165902,0.9987681417969324,0.9991382180071406,0.9994489549023354,0.9996788461953126,0.9997968754550924,0.9998770461908888,0.999903211267242,0.9999272500039322,0.9568538618041774,0.9721354280117651,0.9844845044627646,0.9904422359101265,1.176516687828671,1.1781483698569546,1.1790059625796492,1.1795524726632882,1.1799304417438687,1.1803097713980693,1.180613254155694,1.1807926226827758,1.1809384878114548,1.180980854780187,1.181031797029509,1.1625375844178043,1.1694143123658056,1.1685436001846456,1.1735449962890214
"AUT Prompt:brick
Response:place under tires on a hill
Score:
",17,brick,place under tires on a hill,1.7,uses,0.22378265239112016,0.36201794870672893,0.4966755377574932,0.6117666481513697,0.6820224068338602,1.0,1.1909232633484608,1.2204959104035953,1.310704584375636,1.2993008027886848,0.9225140150237672,0.937727434200955,0.9518788811816685,0.960637837700359,0.9679069165583852,0.9748731374331159,0.9816760121748426,0.9870947433037286,0.9917590013696799,0.9942817538990398,0.9957716736781463,0.7513924194304077,0.8169594757121,0.8748627178788153,0.9005722745832155,1.437413431787175,1.454652529508621,1.4568133895330457,1.4626778717899285,1.4599541242838396,1.46667147749747,1.4696743823500305,1.4764283477300026,1.4835937289953511,1.4869337955678485,1.4885992168659992,1.3085975489340698,1.3640877228901591,1.3929388027557337,1.4188336053641144
"AUT Prompt:knife
Response:shaving the body
Score:
",13,knife,shaving the body,1.3,uses,0.49327208530909117,0.734987745867031,0.8142613552813912,0.8894872321441587,0.9366067581023237,1.0,1.0986610981953717,1.1085270957255675,1.1585492503520667,1.1757272146602349,0.9889033480811477,0.9919501057902291,0.993860030226248,0.9956379782060902,0.9974054984620984,0.9983128323973759,0.9990719088936821,0.9993775499998518,0.999664247472624,0.9997412665429656,0.9998053748248383,0.9524887785346747,0.9666014528181593,0.9756781881134406,0.9829293417535538,1.1983530120868735,1.201736701884897,1.2036550881854475,1.2048985773414809,1.206484802701347,1.2076604364267876,1.208566354139284,1.2090224814850499,1.2095361226697259,1.2096432426204167,1.209745217506577,1.189471331665725,1.1925451140554315,1.1916841667539686,1.194696347502664
"AUT Prompt:brick
Response:display item
Score:
",17,brick,display item,1.7,uses,0.18248837620781239,0.2906462851369443,0.3764008122507126,0.45601786329278704,0.5285087591057733,2.0,1.9255742017289703,2.0564443037304247,1.994211995287847,2.0224381250390198,0.7796495937568392,0.8137056499648249,0.8414696016972861,0.8664490714845452,0.8881202950817011,0.9088246545200013,0.9252310738200896,0.937090035942498,0.9484201470217078,0.9589120066079755,0.9686434699424934,0.593391709212915,0.6530927873200892,0.6994853648302276,0.7402663563605065,1.9794957076450945,1.9510567457014891,1.9757678277426638,1.9793494044280546,1.9993742846726197,2.0085011264336905,1.99416459055612,1.992972928848231,1.988278356565098,2.004818738901686,2.010798219277592,2.052787442370443,2.0022555624992164,2.068429836443174,2.031606291425413
"AUT Prompt:rope
Response:floss your teeth
Score:
",30,rope,floss your teeth,3.0,uses,0.1247579274095944,0.21976729367253614,0.30566678256836327,0.38598414193424135,0.4625703093945881,2.7,2.8296954128276846,2.9618619613941104,2.844947134683442,2.721608812168445,0.6919663466091427,0.7183914984800218,0.7426651042806955,0.7668431562683435,0.7898807243669762,0.811877964103875,0.8324196171162415,0.8512133692066222,0.8672647725099344,0.8819036228824478,0.8964841222910165,0.5331420139607944,0.5808089636439074,0.6254759951359676,0.6651740614472348,2.5235962256109365,2.5116931345739397,2.54399540799863,2.5520670616137013,2.570964597318708,2.606973839673099,2.63147878693552,2.6550704309440767,2.6355431060286754,2.658191930449315,2.6767624008779904,2.6658006939640364,2.611158479114158,2.5603726161402602,2.556769534995295
"AUT Prompt:brick
Response:set plants on
Score:
",27,brick,set plants on,2.7,uses,0.14969433958423392,0.2895432011167513,0.40733469717839,0.5093221994452884,0.603450031978551,1.5,1.5965996514462286,1.4240772368802848,1.5394009439034653,1.5020585116192768,0.888010096407012,0.920566744131918,0.9351924152280789,0.9485205990698832,0.9586968419981662,0.9671058530823402,0.9748099386317778,0.9820498377979918,0.9865310006547324,0.9900300988576329,0.9926701829741881,0.6950979978015528,0.7631265620180544,0.8141483052108509,0.8533430148295548,1.5818122100596186,1.6036749617104027,1.6036174882104126,1.6105924314846818,1.6189717259964838,1.621415274304593,1.6323104593483695,1.6401817142660138,1.6454500075270975,1.6435222043791806,1.646066032006289,1.541341794596257,1.5287419457261826,1.5081400639508498,1.5445108078519187
"AUT Prompt:lightbulb
Response:use the energy to power a remote-control car.
Score:
",36,lightbulb,use the energy to power a remote-control car.,3.6,uses,0.22324307025465218,0.3626118036450424,0.48365081227122886,0.5989782052365542,0.6471118004732853,3.9,3.6693918422024394,3.501869069766356,3.5207632202615966,3.5340952451159624,0.8429078495060459,0.8684041147134288,0.892942206549842,0.9149653809107059,0.9338524833591415,0.947146822006339,0.9583499808593456,0.96653532519447,0.9726211866026578,0.9777149365057498,0.9815571816894035,0.6949242319769261,0.7410549461400086,0.7807125053757333,0.81252395509293,3.5164261747155137,3.5306238578999958,3.5270343084334503,3.5432325614750004,3.5585381310331052,3.571752674563913,3.581434926916146,3.5748171512533533,3.5674661142196404,3.5733664479013156,3.5773851417629805,3.476707518599119,3.515507512377273,3.5299587701736206,3.5170404226463456
"AUT Prompt:box
Response:shovel
Score:
",25,box,shovel,2.5,uses,0.20791039195788175,0.29966342820347347,0.38722998724716107,0.4516458474339795,0.5151209966887238,2.0,1.9081439098568036,1.9063022803683645,1.962453305353417,1.9177904440003086,0.7496802528993243,0.7874123335777665,0.824121334399253,0.8608008697250595,0.8947252547810194,0.9126968106583854,0.9273739227375674,0.9412894777345546,0.9546547708240823,0.9643060289151267,0.9728988171918096,0.5678004858062008,0.6170466696387364,0.6630227642471752,0.7081167362446134,1.9419328422984292,1.9782587289201277,2.0237703539610674,2.001452006156817,2.0165633440051325,2.004422836380557,2.017014062974045,2.0019790334100414,2.020151498666619,2.0259549131141776,2.0389739004107748,1.971806780259389,1.9820378165424741,1.969414738833863,1.9267853700552962
